Filename,DOI,Relevance_Score,Species,Gene,Mod_Type,Phenotype,Quant_Data,Promoter,Terminator,Application_Category
11821244.pdf,10.3390/plants14030371,0.9,Cucumis sativus,CsPHYB,Spontaneous mutation with LTR retrotransposon insertion,Long hypocotyl,Hypocotyl length: 153 mm (mutant) vs 41 mm (wild-type),,,"Above-ground biomass property, Bud dormancy"
11821244.pdf,10.3390/plants14030371,0.9,Cucumis sativus,CsPIF3/4,Upregulation through CsPHYB mutation,Increased expression leading to auxin and gibberellin biosynthesis,Expression levels: CsGA20ox-2 and CsYUCCA8 significantly upregulated,E-box and G-box elements in CsGA20ox-2 and CsYUCCA8 promoters,,"Auxin biosynthesis, Gibberellin biosynthesis, Hypocotyl elongation"
4609462.pdf,Not found,0.9,Nicotiana tabacum,SsDREB,Overexpression via Agrobacterium-mediated transformation,Enhanced abiotic stress tolerance,Improved salt stress tolerance; Improved drought stress tolerance,,,"Drought tolerance, Salt stress tolerance"
9986306.pdf,10.3389/fphys.2023.1081186,0.9,Cannabis sativa,"CBD, CBGA, CBDVA",Phytocannabinoid inhibition,Inhibition of sodium currents,IC50 values; Hill slope coefficients,,,"Pharmaceutical precursors, Disease resistance"
5198224.pdf,Not found,0.9,Culex pipiens quinquefasciatus,CQ G1A1,RNA interference,Gene expression changes,Fold change in gene expression; WNV titer in midgut tissues,,,"Gene expression, Disease resistance"
8525392.pdf,10.3389/fgeed.2020.627803,0.9,Nicotiana benthamiana,SGS3,CRISPR/Cas9 knockout,Absence of trans-acting siRNA3 (TAS3) siRNA,,,,"Gene expression, Disease resistance"
5339997.pdf,Not found,0.9,Tomato,"RdRp, TGB1, TGB2, TGB3, CP",Site-directed mutagenesis introducing single nucleotide nonsynonymous substitutions,"Fitness effects (beneficial, neutral, deleterious, lethal)",80% neutral or beneficial; 20% deleterious or lethal; RdRp: W=1.075±0.007; TGB2: W=1.041±0.005; CP: W=0.759±0.004; TGB1: W=0.604±0.005,,,"Disease resistance, Gene expression"
4691084.pdf,Not found,0.9,Triticum aestivum L.,D6D (Delta-6 desaturase),Artificial gene synthesis and transformation via biolistic particle delivery,Synthesis of γ-linolenic acid (GLA) and stearidonic acid (SDA) in wheat grains,GLA content: 0.04%–0.32% (v/v); SDA content: 0%–1.53% (v/v),Endosperm-specific promoter 1Dx5,,"Pharmaceutical precursors, Biosensing, Biofuel precursors"
9775654.pdf,Not found,0.9,,,,,,,,
7834004.pdf,10.7759/cureus.7386.,0.9,,ACE2,,Binding affinity,1.5 nM; 0.21 ± 0.06 nM; 0.8 μM,,,Pharmacology
9821289.pdf,10.3390/ijms24010788,0.9,Populus,ERF194,Overexpression via transgenic modification,Enhanced drought tolerance,Leaf area decreased by 30%; root surface area increased by 51.69%; MDA content reduced by 8.74%; CAT activity increased by 44.44%; POD activity increased by 32.02%; SOD activity increased by 50.74%,,,"Drought tolerance, Stress response"
7583237.pdf,Not found,0.9,Ananas comosus,AcCIB2,Overexpression in Arabidopsis,Abiotic stress response,Relative expression of AcCIB2 under osmotic stress: 3.5 ± 0.3; Salt stress: 2.8 ± 0.2; ABA treatment: 4.2 ± 0.4,35S promoter,,"Abiotic stress response, Flowering"
6801476.pdf,Not found,0.9,Zea mays,ZmAMT3.3,Overexpression,Increased NH4+ uptake,NH4+ uptake rate increased by 40% at 4 days,,,"Nutrient utilization, Plant Transformation"
6801476.pdf,Not found,0.8,Zea mays,ZmNRT2.2,Downregulation,Decreased NO3- uptake,NO3- uptake rate decreased by 30% at 4 days,,,"Nutrient utilization, Plant Transformation"
6747288.pdf,10.3748/wjg.v25.i34.5097,0.9,,,,,,,,
8549818.pdf,10.3389/fpls.2021.746189,0.9,Malus domestica,MdCCX1,Overexpression via Agrobacterium-mediated transformation,Enhanced salt tolerance,Seed germination rate increased by 20% under 200 mM NaCl; Root length increased by 30% under 150 mM NaCl,35S,,"Drought tolerance, Salt stress tolerance"
8458808.pdf,10.3389/fnsys.2021.709337,0.0,,,,,,,,
6487051.pdf,Not found,0.9,Brassica oleracea,BoFLC1.C9,Sequence variation with a 67 bp insertion in intron 2,Early flowering,83% phenotypic variation explained in F2 population; 80% match in commercial lines,,,"Flowering, Genetic markers"
5446445.pdf,10.21010/ajtcam.v14i2.22,0.9,Moringa peregrina,Flavonoids and phenolic compounds,Natural extraction,Hepatoprotective effect,ALT: 37.8 ± 1.3; AST: 73.6 ± 3.0; ALP: 127.4 ± 3.8; GGT: 6.7 ± 0.33,,,"Above-ground biomass property, Disease resistance, Pharmaceutical precursors"
7351185.pdf,10.1371/journal.pone.0235975.g001,0.9,Oryza sativa,OsACS2,RNA-Seq analysis,Response to nitrogen deficiency,Expression level change; Log2 fold change,,,"Gene expression, Nitrogen use efficiency"
8585014.pdf,Not found,0.9,Hemerocallis fulva,HkSVP,Ectopic overexpression using p35S::HkSVP construct,"Delayed flowering, increased basal inflorescence branches, leafy sepals, enlarged sepals, increased flower buds on secondary branches, increased trichome density",Wild-type: 12.4 ± 0.16 rosette leaves; 34.5 ± 1.12 days to flowering; Line 1: 18.3 ± 0.44 rosette leaves; 44.1 ± 0.70 days to flowering; Line 2: 24.2 ± 1.4 rosette leaves; 54.2 ± 1.31 days to flowering; Line 3: 24.5 ± 1.0 rosette leaves; 52.5 ± 1.42 days to flowering,35S promoter,,"Flowering, Above-ground biomass property, Fruit Property"
5042911.pdf,10.1186/s40064-016-3373-0,0.9,,,,,,,,
5778664.pdf,Not found,0.9,Juglans regia,JrVHAG1,Overexpression via Agrobacterium-mediated transformation,Increased CdCl2 tolerance; enhanced ABA signaling,Germination rate increased by 1.10–1.51-fold; fresh weight increased by 1.26–1.55-fold; ROS accumulation decreased by 2.08–2.75-fold,1200 bp promoter fragment containing MYBCORE motif,,Heavy metal stress resistance; abiotic stress response
5758943.pdf,Not found,0.9,Nigella sativa,Nigella sativa seed oil and extract,Natural compound extraction,Cytotoxicity and apoptosis induction in AGS gastric cancer cells,IC50 values for Nigella sativa seed oil: 2.4 mg/mL; IC50 values for Nigella sativa seed extract: 0.5 mg/mL,,,"Chemicals, Pharmaceutical precursors"
5765015.pdf,10.1038/s41598-017-18711-1,0.9,Arabidopsis thaliana,"AXY3, AXY8",T-DNA insertion mutants,"Aluminum sensitivity, root elongation, Al content in cell wall","Root length WT: 100%, axy3 mutants: 80%, axy8 mutants: 120%; Al content WT: 14 µg/mg, axy3: 10 µg/mg, axy8: 12 µg/mg",,,"Disease resistance, Root Property"
10799208.pdf,10.1111/mpp.13422,0.9,Nicotiana benthamiana,Importin α1 and α2,RNA interference (VIGS),Enhanced BaMV accumulation,BaMV-GFP signal intensity increased by 3-fold in α1i and α2i plants; BaMV gRNA accumulation increased by 2-fold,,,"Disease resistance, Virus infection"
4152868.pdf,10.1007/s11103-014-0193-x,0.9,Arachis hypogaea,Auxin response factor 4,Natural variation,Seed abortion in aerial pods,Expression up-regulated at 8 DAM; IAA content increased by 6x,,,"Seed Property, Seed Yield"
4152868.pdf,10.1007/s11103-014-0193-x,0.8,Arachis hypogaea,Auxin efflux carrier protein,Natural variation,Seed abortion in aerial pods,Expression up-regulated at 8 DAM,,,"Seed Property, Seed Yield"
10734892.pdf,10.1093/pcp/pcad130,0.9,Arabidopsis thaliana,VND7,glucocorticoid-inducible overexpression,xylem vessel cell differentiation,metabolite levels; gene expression changes,glucocorticoid-inducible promoter,,"Plant Transformation, Disease resistance"
8806993.pdf,Not found,0.0,,,,,,,,
8150718.pdf,10.3390/molecules26102838,0.0,,,,,,,,
4288972.pdf,10.1111/nph.12723,0.9,Phalaenopsis,PeSEP3,Virus-induced gene silencing (VIGS),"Flower development abnormalities, increased chlorophyll content, leaf-like organ transformation",Chlorophyll content increased by three- to seven-fold; Anthocyanin content slightly decreased,,,"Flower Property, Disease resistance"
3878592.pdf,Not found,0.9,Populus,hipI-SOD,antisense expression,increased superoxide production,fold change in superoxide levels; transcript levels compared to wild type,,,"Disease resistance, Oxidative stress response"
4606401.pdf,Not found,0.9,Arabidopsis thaliana,"CBL1, CBL9, CIPK3, CIPK24",Mutant analysis,"Hypersensitivity to abiotic stresses, altered ABA signaling",Higher ABA accumulation in cbl9 mutants; Reduced seed germination in cipk3 mutants,,,"Drought tolerance, Salt resistance, ABA signaling"
9569939.pdf,10.3390/ijms231911511,0.9,,OLA1,,Carotid intima-media thickness (cIMT),cIMT ≥ 0.70 mm; cIMT < 0.70 mm,,,Disease resistance
5154607.pdf,10.1371/journal.pone.0168343.g001,0.0,,,,,,,,
9523018.pdf,10.3389/fbioe.2022.956271,0.9,Populus,PdbNF-YA11,RNAi silencing; Agrobacterium-mediated overexpression,Enhanced disease resistance to Alternaria alternata,Disease index: 15.6% (OE) vs 67.8% (WT); 78.9% (RNAi) vs 67.8% (WT),CaMV 35S promoter,NOS terminator,"Disease resistance, Gene expression"
9271274.pdf,10.7717/peerj.13651/,0.0,,,,,,,,
3786787.pdf,Not found,0.9,Panax notoginseng,PNRb1,Natural product extraction,Upregulation of BDNF expression; Downregulation of phosphorylated Tau protein,BDNF mRNA levels increased by 1.5-fold; Phosphorylated Tau protein levels decreased by 30%,,,"Pharmaceutical precursors, Disease resistance"
4335395.pdf,10.3389/fcell.2015.00010,0.9,Arabidopsis thaliana,XTH,RNAi silencing,Reduced root elongation,Root length: 32.75 mm ± 0.65 (wild type: 37.87 mm ± 0.39),,,"Disease resistance, Plant Transformation"
6576027.pdf,Not found,0.9,Poncirus trifoliata,PtrERF109,Overexpression via transgenic modification,Enhanced cold tolerance,Survival rate: 89.1% (line #29); 84.3% (line #46); Electrolyte Leakage (EL): 20% (line #29); 20% (line #46); Malondialdehyde (MDA) content: 0.04 nmol/mg prot (line #29); 0.04 nmol/mg prot (line #46),CaMV 35S promoter,,"Cold tolerance, Above-ground biomass property"
6520753.pdf,Not found,0.9,Oryza sativa,HO-1,Natural,Upregulation of HO-1 expression,Fold change of HO-1 mRNA expression: ORY vs. VH = 9.34; ORY+LPS vs. LPS = 0.005,,,"Antioxidant response, Cognitive function"
6520753.pdf,Not found,0.9,Oryza sativa,NQO1,Natural,Upregulation of NQO1 expression,Fold change of NQO1 mRNA expression: ORY vs. VH = 11.92; ORY+LPS vs. LPS = 0.05,,,"Antioxidant response, Cognitive function"
6939897.pdf,10.1371/journal.pone.0219229.t004,0.9,Cucumis melo,,,"High protein, lipid, and dietary fiber content in melon seed flour",18% proteins; 30% lipids; 35% dietary fibre,,,"Above-ground biomass property, Biosensing, Chemicals, Nutrient utilization"
8931380.pdf,Not found,0.9,Arabidopsis thaliana,TIC236,EMS-induced gain-of-function mutation,"Rescue of crl-induced defects, enhanced protein import",Increased TIC236 stability; enhanced import efficiency of FTSZ2-1 and FTSZ2-2,,,"Plastid division, Protein import"
4427177.pdf,10.1371/journal.pone.0127179.g001,0.9,Musa acuminata,MusamiRNA156,Agrobacterium-mediated overexpression,Stunted growth; Reduced leaf length and width; Poor root development,Leaf length reduction; Leaf width reduction,Zea mays polyubiquitin promoter,,"Gene expression, Plant Transformation, Leaf property"
6838116.pdf,10.1038/s41598-019-52636-1,0.0,,,,,,,,
8461931.pdf,10.1186/s12891-021-04712-9,0.9,,"PDE4A, PDE4B",,Increased expression of PDE4A and PDE4B,"PDE4A: LFH vs NLFH, P < 0.01; PDE4B: LFH vs NLFH, P < 0.01",,,"Gene expression, Disease resistance"
9562736.pdf,10.1111/mpp.13249,0.9,Tomato,AGO2a,Natural variation,Up-regulated in response to PepMV-EU infection,FPKM at 7 dpi: 1.0; FPKM at 14 dpi: 0.8; FPKM at 21 dpi: 0.6,,,"Disease resistance, Gene expression"
9562736.pdf,10.1111/mpp.13249,0.9,N. benthamiana,AGO2,Natural variation,Up-regulated in response to PepMV-EU infection,FPKM at 7 dpi: 1.5; FPKM at 14 dpi: 1.2; FPKM at 21 dpi: 0.9,,,"Disease resistance, Gene expression"
6264427.pdf,10.3390/molecules16064994,0.9,Centella asiatica,,Gamma irradiation,Flavonoid accumulation,16.827 ± 0.02 mg/g DW; 16.837 ± 0.008 mg/g DW,,,"Pharmaceutical precursors, Chemicals"
6264427.pdf,10.3390/molecules16064994,0.9,Centella asiatica,,Gamma irradiation,Photosynthesis,17.45 ± 0.03 μmol/m²/s; 12.48 ± 0.06 μmol/m²/s,,,"Photosynthesis, Chemicals"
1781526.pdf,Not found,0.0,,,,,,,,
8313131.pdf,Not found,0.9,Oryza sativa,OsHox32,Overexpression using 35S promoter,"Reduced mechanical strength, thinner cell walls, drooping leaves, brittle culms",Cellulose content: 30-35 mg/100 mg AIR; Lignin content: Decreased,35S promoter,,"Above-ground biomass property, Mechanical strength"
8313131.pdf,Not found,0.9,Oryza sativa,OsmiR166b,Knockdown using STTM technology,"Reduced mechanical strength, thinner cell walls, drooping leaves, brittle culms",Cellulose content: 30-35 mg/100 mg AIR; Lignin content: Decreased,,,"Above-ground biomass property, Mechanical strength"
4283111.pdf,Not found,0.9,,,,,,,,
5645508.pdf,10.3389/fpls.2017.01752,0.9,Populus,"PtPYRL1, PtPYRL5",Overexpression using CaMV 35S promoter,"Enhanced drought, osmotic, and cold tolerance",Shoot weight increased; Water potential higher; Proline content increased; MDA content decreased,CaMV 35S,,"Drought tolerance, Cold tolerance, Stress resistance"
7296017.pdf,10.1038/s41598-020-66670-x,0.9,Nicotiana benthamiana,NbrgsCaM4,Agrobacterium-mediated overexpression of GUS under NbrgsCaM4 promoter,"Increased GUS expression in response to viral infection, salt, and PEG treatment",GUS expression levels increased 2.5-fold under TYLCCNV A infection; 3.0-fold under salt stress; 2.8-fold under PEG treatment,NbrgsCaM4 promoter,,"Gene expression, Disease resistance, Stress response"
4824485.pdf,10.1371/journal.pone.0153395.g001,0.9,Brassica oleracea var. capitata,cry1Ac1,Agrobacterium-mediated overexpression,Pathogen resistance,Cry1Ac1 protein concentration: 36-125 ng g⁻¹ dry weight, Cauliflower mosaic virus 35S promoter,Nos terminator,Disease resistance
8031172.pdf,10.1371/journal.pone.0249699.g001,0.9,Gossypium hirsutum (cotton),Bt (Bacillus thuringiensis),Agrobacterium-mediated overexpression,Herbivore resistance,Increased VP production; Faster signal emission,,,"Disease resistance, Pest resistance"
8554030.pdf,10.3389/fpls.2021.731314,0.9,Citrus sinensis,CLas,Natural Infection,Reduced leaf area; Lower root volume; Decreased dry weights,Leaf dry weight: 25.76g; Stem dry weight: 40.69g,,,"Disease resistance, Above-ground biomass yield, Root Property"
7036875.pdf,Not found,0.9,Vitis quinquangularis,MYB14,Overexpression using Agrobacterium-mediated transformation,"Enhanced stilbene biosynthesis, increased disease resistance",StSy/RS expression increased by 2.7-fold; trans-resveratrol and viniferins accumulation increased significantly,CaMV 35S promoter,,"Disease resistance, Biosensing, Chemicals"
5852180.pdf,10.1007/s00122-017-3043-9,0.9,Triticum aestivum (Wheat),Pm3,"transgenic overexpression of Pm3 alleles (a, b, c, d, f, g)",improved powdery mildew resistance,"AUDPC scores in field trials: 0 (completely resistant); 179, 99 (parental lines); 104, 35 (pyramided lines)",,,"Disease resistance, Plant Transformation"
9484609.pdf,10.1212/WNL.0000000000200771,0.9,,,,,,,,
6188001.pdf,10.2147/IJN.S177871,0.0,,,,,,,,
9148027.pdf,Not found,0.9,Arabidopsis thaliana,ADA2b,Mutation,Reduced cytokinin signaling,Fluorescence density of TCS::GFP decreased by two-fold; Histone H3K14 acetylation reduced,,,"Gene expression, Root Property"
9148027.pdf,Not found,0.9,Arabidopsis thaliana,GCN5,Mutation,Reduced cytokinin signaling,Fluorescence density of TCS::GFP decreased; Histone H3K14 acetylation reduced,,,"Gene expression, Root Property"
11879649.pdf,10.1093/hr/uhae338,0.9,Brassica rapa,Crr5,Natural mutation leading to resistance,Clubroot resistance,Resistant DH40 line; Susceptible DH199 line,,,Disease resistance
10179174.pdf,Not found,0.9,Brassica napus,Bna.EPF2,Overexpression,"Enhanced drought tolerance, reduced stomatal density, smaller stomatal complex size",Stomatal density decline: 19.02%; Stomatal index decline: 6.90%; Leaf temperature increase: 0.23°C–1°C; Recovery rate after drought: 70.14%; WT recovery rate: 8.33%,Bna.EPF2 promoter,,"Drought tolerance, Water Utilization"
8605592.pdf,10.1186/s12870-021-03331-9,0.9,Tomato,SlPDS,TRV-mediated VIGS,Leaf bleaching,56.7% gene silencing success rate; 68.3% TYLCV infection success rate,,,"Gene expression, Virus resistance"
8483070.pdf,Not found,0.9,Nicotiana tabacum,SphK,PHS-induced activation,Increased disease resistance,SphK activity peaked at 1 h; SphK expression was biphasic with peaks at 3 h and 96 h,,,Disease resistance
9459167.pdf,10.3389/fpls.2022.971927,0.9,Triticum aestivum L.,Oxygen-dependent coproporphyrinogen-III oxidase,Natural mutation,Stay-green phenotype,Chlorophyll a content at 40 DAH: 68%; Chlorophyll b content at 40 DAH: 84%,,,"Leaf property, Photosynthesis"
4438586.pdf,Not found,0.9,Nicotiana benthamiana,"NbTPS1, NbEAH",RNAi silencing,Reduced production of capsidiol 3-acetate; increased susceptibility to PVX,capsidiol 3-acetate production reduced by 75%; susceptibility increased,,,"Disease resistance, Plant Transformation"
5360694.pdf,10.3389/fpls.2017.00393,0.9,Wheat,TaMLO,TRV-mediated VIGS,Resistance to powdery mildew,97% silencing efficiency; 92% photo-bleaching,,,"Disease resistance, Plant Transformation"
5360694.pdf,10.3389/fpls.2017.00393,0.8,Maize,ZmPDS,TRV-mediated VIGS,Photo-bleaching,92% silencing efficiency; 92% photo-bleaching,,,"Gene expression, Plant Transformation"
7658211.pdf,10.1038/s41598-020-76675-1,0.9,Oryza sativa,OsCM,Agrobacterium-mediated overexpression,Enhanced disease resistance to bacterial leaf blight (BLB),"Lesion length in transgenic line: 1.1 mm to 15 mm; WT lesion length: 6 mm to 138 mm; Phe accumulation in transgenic: 83%, 62%, 52% at 6, 12, 24 h; Tyr accumulation reduced in WT; SA accumulation in transgenic: 125-210 ng/g D.W.; JA accumulation reduced in transgenic",,,"Disease resistance, Plant Transformation"
7356841.pdf,Not found,0.9,Lolium temulentum,WRKY transcription factors,RNAi silencing,Increased resistance to pathogens,Expression level increased by 2.5-fold; Pathogen resistance improved by 30%,CaMV 35S promoter,,"Disease resistance, Biosensing"
7356841.pdf,Not found,0.8,Lolium temulentum,Protease inhibitors,Overexpression using Agrobacterium-mediated transformation,Enhanced stress response,Expression level increased by 1.8-fold; Stress tolerance improved by 25%,,,"Stress tolerance, Biosensing"
2823063.pdf,Not found,0.9,,,,,,,,
3797462.pdf,10.3389/fpls.2013.00390,0.9,Nicotiana tabacum,"Trx f, Trx m",Overexpression via transplastomic transformation,"Increased photosynthetic activity, improved stress tolerance",Chlorophyll a: 30.9 ± 1.3 μg cm⁻²; Chlorophyll b: 12.0 ± 0.8 μg cm⁻²,psbA regulatory sequence,,"Photosynthesis, Stress tolerance"
4663248.pdf,10.3389/fpls.2015.01045,0.9,Arabidopsis,PLDδ,Knockout,Retarded ethylene-promoted senescence,Chlorophyll content decreased by 37% in WS; decreased by 20% in PLDδ-KO; Cell death rate lower in PLDδ-KO,,,"Disease resistance, Leaf property, Leaf yield"
4988499.pdf,10.1002/anie.201603785,0.9,Mentha piperita,IPR (Isoprene Reductase),Site-directed mutagenesis (E238Y),Switch from ene reduction to ketoreduction,Product yield: <1%; ee: nd,,,"Biosensing, Chemicals"
4988499.pdf,10.1002/anie.201603785,0.9,Mentha piperita,MNMR (Menthol Reductase),Site-directed mutagenesis (Y244E),Switch from ketoreduction to ene reduction,Product yield: <1%; ee: nd,,,"Biosensing, Chemicals"
2217413.pdf,10.1085/jgp.200308906,0.9,Capsicum family,TRPV1,,Response to capsaicin,Current inhibition by Ca2+/CaM; Open probability reduction,,,"Gene expression, Chemicals"
8564105.pdf,10.3389/fpls.2021.757186,0.9,Nicotiana benthamiana,"DXS, HDR, GGPPS, CAS",Transient overexpression,Increased production of casbene and 16-OH-casbene,Casbene production increased up to 5-fold; 16-OH-casbene detected at 30% of casbene yield,,,"Pharmaceutical precursors, Above-ground biomass property"
7384854.pdf,Not found,0.9,,,,,,,,
6305203.pdf,10.1093/jxb/ery353,0.9,Arabidopsis thaliana,HMA4,CRISPR/Cas9 knockout,Zinc deficiency phenotype,Zinc accumulation in shoots: 34 ppm (WT); 19 ppm (hma2hma4 mutant),A. thaliana HMA4 promoter,,"Disease resistance, Mineral Nutrition"
7346112.pdf,Not found,0.9,corn,linoleic acid,oxidative degradation,formation of oxylipins,concentration of linoleic acyl group decreased to 291.2 ± 29.5 mmol/mol TG after 16 days; gamma-tocopherol concentration decreased to near 0 mmol/mol TG by day 11,,,"Chemicals, Carbon Capture, Material precursors"
3720949.pdf,10.1371/journal.pone.0070050.g002,0.9,Nicotiana tabacum,ABP1,Overexpression,"Increased auxin efflux, altered cell size",Cell length increased by ~30%; auxin efflux measured via [3H] NAA accumulation,35S promoter,,"Auxin transport, Cell property"
5958707.pdf,Not found,0.0,,,,,,,,
5110565.pdf,10.3389/fpls.2016.01643,0.9,Arabidopsis thaliana,TabZIP174,Overexpression via transgenic,Improved drought tolerance,Germination rate increase: 14-17%; Primary root length increase: significant; Proline content increase: significant; Soluble sugar content increase: significant; Osmotic potential improvement: significant,Not explicitly named,Not explicitly named,"Drought tolerance, Stress response"
6555843.pdf,10.1038/s41438-019-0158-y,0.9,Citrus sinensis,"WRKY22, GST1, RAR1, EDS1, PAL1, NPR2",Hexaacetyl-chitohexaose (HC) treatment,Defense gene expression,Expression increased significantly at 1 h; No change at 18 h,,,"Disease resistance, Pest resistance"
6555843.pdf,10.1038/s41438-019-0158-y,0.8,Citrus sinensis,"Interleukin-1β (IL-1β), Tumor necrosis factor-alpha (TNF-α)",HC treatment,Inflammatory response,Significantly increased at 1 h; No change at 18 h,,,"Disease resistance, Pest resistance"
9824786.pdf,10.3390/plants12010161,0.9,Brassica rapa,Bar,Agrobacterium-mediated transformation,Herbicide resistance,7.8% transformants; 5.2% transformants,,,Herbicide resistance
6827179.pdf,Not found,0.9,Vaccinium oldhamii,iNOS,Natural compound inhibition,Reduced NO production,NO production inhibited by 50 μg/mL VOS; NO production inhibited by 25 μg/mL VOS,,,"Anti-inflammatory activity, Disease resistance"
6827179.pdf,Not found,0.9,Vaccinium oldhamii,COX-2,Natural compound inhibition,Reduced PGE2 production,PGE2 production inhibited by 50 μg/mL VOS; PGE2 production inhibited by 25 μg/mL VOS,,,"Anti-inflammatory activity, Disease resistance"
9138956.pdf,Not found,0.9,N. benthamiana,hotspot siRNA,synthetic siRNA targeting hotspot region,resistance to ACMV infection,undetectable viral DNA; no systemic symptoms,T7 promoter,,Disease resistance
10837019.pdf,10.1093/jxb/erad433,0.9,Oryza sativa,OsSCR106,CRISPR/Cas9 knockout,"Hypersensitivity to abiotic stress (salt, ABA, cold)","Root length under 125 mM NaCl: WT 100%, scr106 30%; Shoot length under 125 mM NaCl: WT 100%, scr106 25%; Root length under 4°C: WT 100%, scr106 10%; Shoot length under 4°C: WT 100%, scr106 15%",OsUbiquitin,,"Disease resistance, Stress tolerance"
2814104.pdf,10.1093/jxb/erp335,0.9,Ipomoea nil,CHYB,Expression analysis,Carotenoid accumulation in petals,Expression levels of CHYB gene in stages 1-4; CHYB expression correlates with chromoplast-type carotenoid accumulation,,,"Flower Property, Carotenoid biosynthesis"
9782587.pdf,Not found,0.9,maize,Zm00001d005814,natural variation,delayed senescence,allelic effect -0.61; R² 4.73,,,"Above-ground biomass property, Leaf property"
9782587.pdf,Not found,0.9,maize,Zm00001d014796,natural variation,delayed senescence,allelic effect 0.74; R² 5.37,,,"Above-ground biomass property, Leaf property"
9635817.pdf,10.3389/fnut.2022.1021893,0.9,Pisum sativum,Acetylcholinesterase,In vitro enzymatic digestion,AChE inhibitory activity,IC50 values: 1.39 µg/mL to 1.65 µg/mL,,,Pharmaceutical precursors
5059998.pdf,Not found,0.9,Arabidopsis thaliana,ONSEN,Heat-responsive element (HRE) activation,Increased transcriptional activity under heat stress,884–976-fold upregulation after 6 h; 185-fold upregulation after 12 h,Heat-responsive element (HRE) in LTR,,"Drought tolerance, Stress response"
2171611.pdf,10.1083/jcb.200412008,0.9,,,,,,,,
11889819.pdf,10.1186/s40478-025-01969-2,0.9,,,,,,,,
4834444.pdf,10.3389/fpls.2016.00457,0.9,Brassica juncea,GLP13,Phloem-specific promoter analysis,Phloem-specific gene expression,Relative expression levels; Fold change in mRNA abundance,GLP13 promoter,,"Gene expression, Disease resistance"
4834444.pdf,10.3389/fpls.2016.00457,0.9,Brassica juncea,GS3A,Phloem-specific promoter analysis,Phloem-specific gene expression,Relative expression levels; Fold change in mRNA abundance,GS3A promoter,,"Gene expression, Herbicide resistance"
8929161.pdf,10.3390/cimb43030135,0.9,Rice,OsTB1,CRISPR/Cas9,High grain yield,,,,Above-ground biomass yield
8929161.pdf,10.3390/cimb43030135,0.9,Tomato,SLIAA9,CRISPR/Cas9,Seedless fruit,,,,Fruit Property
9104720.pdf,10.3390/plants11091157,0.9,Cyclocarya paliurus,Nitric Oxide (NO) related genes,Exogenous NO donors application,Salt tolerance improvement,NO content increased by 263%; H₂O₂ content increased by 72%; MDA content increased by 84%; Electrolyte leakage increased by 29%,,,"Drought tolerance, Disease resistance, Stress tolerance"
9963279.pdf,Not found,0.9,Rice,"OsCEBiP, OsCERK1, OsPAD4, OsEDS1, OsNPR1, OsFMO1",Endophytic bacterial colonization,Disease resistance; Defense gene expression,OsCEBiP: 2.5-fold increase; OsCERK1: 1.8-fold increase; OsPAD4: 3.2-fold increase; OsEDS1: 2.1-fold increase; OsNPR1: 4.0-fold increase; OsFMO1: 1.5-fold increase,,,"Disease resistance, Gene expression"
9963279.pdf,Not found,0.8,Rice,OsPAD4,Induced by bacterial volatile compounds,Defense gene expression,OsPAD4: 2.5-fold increase,,,"Disease resistance, Gene expression"
10152689.pdf,10.1093/plphys/kiad078,0.9,Oryza sativa,Ghd8,CRISPR/Cas9 knockout,Grain yield per panicle (GYPP); Heading date (HD),41.4 g; 7-10 d shorter,,,Yield; Disease resistance
5466443.pdf,Not found,0.9,Triticum turgidum,Lr34,Agrobacterium-mediated overexpression,seedling resistance to rust pathogens,"transgene expression levels: 4.5- to 10-fold increase; fungal biomass quantification: 200,000 to 600,000 fluorescence units",,,"Disease resistance, Plant Transformation"
6651023.pdf,Not found,0.9,Citrus sinensis,Multiple genes,RNA-Seq analysis,Global transcriptome changes under Mg deficiency,4864 differentially expressed genes; 10 validated by RT-qPCR,,,"Gene expression, Disease resistance"
3084865.pdf,10.1371/journal.pone.0019459.g001,0.9,Arabidopsis thaliana,separase (rsw4),single amino-acid substitution mutation,"failure to remove cohesin during metaphase, nondisjunction of chromosomes during anaphase, disrupted radial microtubule arrays after telophase II",failure to remove cohesin during metaphase; nondisjunction of chromosomes during anaphase; disrupted radial microtubule arrays after telophase II,,,"Gene expression, Meiosis, Chromosome segregation, Microtubule dynamics"
7540714.pdf,Not found,0.9,Solanum lycopersicum,PHYB2,Overexpression of constitutively active PHYB2Y252H mutant,"Enhanced accumulation of carotenoids, tocopherols, flavonoids, and ascorbate in tomato fruits",Carotenoid accumulation increased by up to 200%; Tocopherol content increased by up to 200%,PPC2 promoter,,"Above-ground biomass property, Fruit Property, Disease resistance"
6558690.pdf,Not found,0.9,Rapid-cycling Brassica rapa,2X35S-GFP,Agrobacterium-mediated transformation,Successful transformation with GFP expression,Transformation rate: 0.1% (1 per 1000 T1 seeds); GFP-positive progenies obtained,2X35S,nos terminator,"Plant Transformation, Genetic modification"
8351799.pdf,10.3389/fmicb.2021.693457,0.9,Tomato,Tomato Chlorosis Virus RNA1 and RNA2,Agrobacterium-mediated overexpression with HDV ribozyme,Increased infectivity in Nicotiana benthamiana,41.66%; 95.83%,2× CaMV 35S promoter,CaMV 35S terminator,"Disease resistance, Plant Transformation"
